symbol,name,type,leverage,inverse,category,sector,note
SPY,S&P 500 ETF,etf,1,no,benchmark,ETF:benchmark - do not remove,benchmark - do not remove
UNG,US Natural Gas Fund,etf,1,no,etf-core,ETF:natural gas,natural gas
USO,US Oil Fund,etf,1,no,etf-core,ETF:crude oil,crude oil
GLD,SPDR Gold,etf,1,no,etf-core,ETF:gold,gold
SLV,iShares Silver,etf,1,no,etf-core,ETF:silver,silver
URA,Global X Uranium,etf,1,no,etf-core,ETF:uranium,uranium
COPX,Global X Copper Miners,etf,1,no,etf-core,ETF:copper miners,copper miners
EWY,iShares South Korea,etf,1,no,etf-core,ETF:south korea,south korea
ERX,Direxion Energy Bull 2x,etf,2,no,etf-core,ETF:energy bull 2x,energy bull 2x
TMF,Direxion 20+Y Treasury Bull 3x,etf,3,no,etf-core,ETF:20y treasuries bull 3x,20y treasuries bull 3x
SOXL,Direxion Semis Bull 3x,etf,3,no,etf-core,ETF:semiconductors bull 3x,semiconductors bull 3x
TECL,Direxion Tech Bull 3x,etf,3,no,etf-core,ETF:tech bull 3x,tech bull 3x
FAS,Direxion Financial Bull 3x,etf,3,no,etf-core,ETF:financials bull 3x,financials bull 3x
TNA,Direxion Small Cap Bull 3x,etf,3,no,etf-core,ETF:small caps bull 3x,small caps bull 3x
NAIL,Direxion Homebuilders Bull 3x,etf,3,no,etf-core,ETF:homebuilders bull 3x,homebuilders bull 3x
GUSH,Direxion Oil&Gas Bull 2x,etf,2,no,etf-core,ETF:oil gas E&P bull 2x,oil gas E&P bull 2x
NUGT,Direxion Gold Miners Bull 2x,etf,2,no,etf-core,ETF:gold miners bull 2x,gold miners bull 2x
JNUG,Direxion Jr Gold Miners Bull 2x,etf,2,no,etf-core,ETF:junior gold miners bull 2x,junior gold miners bull 2x
YINN,Direxion China Bull 3x,etf,3,no,etf-core,ETF:china bull 3x,china bull 3x
LABU,Direxion Biotech Bull 3x,etf,3,no,etf-core,ETF:biotech bull 3x,biotech bull 3x
DPST,Direxion Regional Banks Bull 3x,etf,3,no,etf-core,ETF:regional banks bull 3x,regional banks bull 3x
DFEN,Direxion Defense Bull 3x,etf,3,no,etf-core,ETF:defense bull 3x,defense bull 3x
SPYU,MAX S&P500 4x,etf,4,no,etf-core,ETF:S&P500 bull 4x,S&P500 bull 4x
NVDA,NVIDIA,stock,1,no,top50,Technology,
AAPL,Apple,stock,1,no,top50,Technology,
MSFT,Microsoft,stock,1,no,top50,Technology,
AMZN,Amazon,stock,1,no,top50,Consumer,
GOOGL,Alphabet (A),stock,1,no,top50,Communication,
GOOG,Alphabet (C),stock,1,no,top50,Communication,
AVGO,Broadcom,stock,1,no,top50,Technology,
META,Meta Platforms,stock,1,no,top50,Communication,
TSLA,Tesla,stock,1,no,top50,Consumer,
BRK.B,Berkshire Hathaway,stock,1,no,top50,Financials,
LLY,Eli Lilly,stock,1,no,top50,Healthcare,
